nombre,categoria,propio_de_fabricante,consultas_chrome,pedido_por_paginas_chrome,bloqueado_por_chrome,consultas_brave,pedido_por_paginas_brave,bloqueado_por_brave,consultas_firefox,pedido_por_paginas_firefox,bloqueado_por_firefox,consultas_safari,pedido_por_paginas_safari,bloqueado_por_safari,consultas_duckduckgo,pedido_por_paginas_duckduckgo,bloqueado_por_duckduckgo
secure.adnxs.com,publicidad,0,4,1,0,2,1,0,3,1,0,0,,,0,,
secure.cdn.fastclick.net,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
securepubads.g.doubleclick.net,publicidad,0,8,1,0,6,1,0,2,1,0,0,,,0,,
servedby.flashtalking.com,publicidad,0,0,0,0,0,0,0,4,1,0,0,,,0,,
sg.semasio.net,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
shb.richaudience.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
simage2.pubmatic.com,desconocido,0,2,1,0,0,0,0,3,1,0,0,,,0,,
simage4.pubmatic.com,desconocido,0,2,1,0,0,0,0,3,1,0,0,,,0,,
sonata-notifications.taptapnetworks.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
ssb-global.smartadserver.com,publicidad,0,2,1,0,3,1,0,5,1,0,0,,,0,,
ssbsync-global.smartadserver.com,publicidad,0,2,1,0,3,1,0,4,1,0,0,,,0,,
ssbsync-us.smartadserver.com,publicidad,0,5,1,0,3,1,0,0,1,0,0,,,0,,
ssbsync.smartadserver.com,publicidad,0,2,1,0,5,1,0,4,1,0,0,,,0,,
ssc-cms.33across.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
ssp-sync.criteo.com,publicidad,0,4,1,0,5,1,0,3,1,0,0,,,0,,
ssp.api.tappx.com,publicidad,0,5,1,0,3,1,0,3,1,0,0,,,0,,
ssp.disqus.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
ssp.wp.pl,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
ssum-sec.casalemedia.com,publicidad,0,5,1,0,5,1,0,3,1,0,0,,,0,,
ssum.casalemedia.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
star-randsrv.bsg.brave.com,desconocido,1,0,0,0,4,0,0,0,0,0,0,,,0,,
static.ads-twitter.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
static.adsafeprotected.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
static.cdn.admatic.de,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
static.cdn.monetixads.com,desconocido,0,0,0,0,2,1,0,0,0,0,0,,,0,,
static.criteo.net,publicidad,0,4,1,0,3,1,0,5,1,0,0,,,0,,
static.doubleclick.net,publicidad,0,4,1,0,3,1,0,3,1,0,2,,,0,,
static.hotjar.com,publicidad,0,0,1,0,0,1,1,4,1,0,0,,,0,,
staticcdn.duckduckgo.com,desconocido,1,0,0,0,0,0,0,0,0,0,5,,,0,,
stats-collector.cxense.com,rastreador,0,4,1,0,3,1,1,3,1,0,0,,,0,,
stats.g.doubleclick.net,publicidad,0,4,1,0,3,1,0,4,1,0,0,,,0,,
stx-match.dotomi.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
support.mozilla.org,desconocido,1,0,0,0,0,0,0,3,0,0,0,,,0,,
sync-ssp.adsmovil.com,desconocido,0,2,1,0,5,1,0,3,1,0,0,,,0,,
sync-tm.everesttech.net,rastreador,0,4,1,0,3,1,0,0,1,0,0,,,0,,
sync.1rx.io,publicidad,0,5,1,0,4,1,0,4,1,0,0,,,0,,
sync.a-mo.net,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
sync.adkernel.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
sync.adotmob.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
sync.adtech.ink,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
sync.aniview.com,publicidad,0,2,1,0,3,1,0,0,1,0,0,,,0,,
sync.aralego.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
sync.colossusssp.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
sync.connectad.io,publicidad,0,5,1,0,3,1,0,3,1,0,0,,,0,,
sync.crwdcntrl.net,rastreador,0,2,1,0,0,0,0,3,1,0,0,,,0,,
sync.go.sonobi.com,publicidad,0,0,0,0,3,1,0,0,0,0,0,,,0,,
sync.ipredictive.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
sync.iqzonertb.live,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
sync.kueezrtb.com,publicidad,0,0,0,0,3,1,0,0,0,0,0,,,0,,
sync.lunamedia.live,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
sync.mathtag.com,publicidad,0,4,1,0,3,1,0,0,1,0,0,,,0,,
sync.p7cloud.net,rastreador,0,2,1,0,0,0,0,3,1,0,0,,,0,,
sync.pmbmonetize.live,desconocido,0,2,1,0,4,1,0,3,1,0,0,,,0,,
sync.resetdigital.co,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
sync.richaudience.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
sync.serverbid.com,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
sync.smartadserver.com,publicidad,0,2,1,0,5,1,0,0,0,0,0,,,0,,
sync.sparteo.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
sync.springserve.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
sync.srv.stackadapt.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
sync.targeting.unrulymedia.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
sync.visx.net,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
sync6.im-apps.net,desconocido,0,4,1,0,3,1,0,5,1,0,0,,,0,,
syncingbridge.com,rastreador,0,2,1,0,3,1,0,3,1,0,0,,,0,,
t.adx.opera.com,rastreador,0,4,1,0,5,1,0,3,1,0,0,,,0,,
t.co,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
t.oa.opera.com,desconocido,0,4,1,0,5,1,0,3,1,0,0,,,0,,
tags.crwdcntrl.net,rastreador,0,4,1,0,3,1,0,3,1,0,0,,,0,,
tags.tiqcdn.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,3,,
token.rubiconproject.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
tpc.googlesyndication.com,publicidad,0,8,1,0,5,1,0,5,1,0,0,,,0,,
tr.blismedia.com,desconocido,0,4,1,0,3,1,0,2,1,0,0,,,0,,
trace.mediago.io,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
trace.us.rtbwise.com,desconocido,0,4,1,0,3,1,0,3,1,0,0,,,0,,
track.adform.net,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
trackerapi.ebxcdn.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
tracookiepixel.xyz,desconocido,0,2,1,0,0,0,0,3,1,0,0,,,0,,
trc.taboola.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
u-ams.4dex.io,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
u.4dex.io,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
u.openx.net,publicidad,0,5,1,0,3,1,0,3,1,0,0,,,0,,
uipglob.semasio.net,publicidad,0,4,1,0,0,0,0,3,1,0,0,,,0,,
um.simpli.fi,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
ums.acuityplatform.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
update.googleapis.com,esperado,1,2,0,0,0,0,0,0,0,0,0,,,2,,
ups.analytics.yahoo.com,rastreador,0,4,1,0,5,1,0,5,1,0,0,,,0,,
us-central1-adsmovil-data-providers.cloudfunctions.net,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
us-east-casale-rtb.quantserve.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
us-east-sync.richaudience.com,publicidad,0,5,1,0,3,1,0,3,1,0,0,,,0,,
us-u.openx.net,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
us4.shb-sync.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
usage-ping.brave.com,desconocido,1,0,0,0,2,0,0,0,0,0,0,,,0,,
user-sync.fwmrm.net,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
usermatch.krxd.net,rastreador,0,4,1,0,4,1,0,3,1,0,0,,,0,,
usersync.gumgum.com,desconocido,0,4,1,0,3,1,0,3,1,0,0,,,0,,
usw1-cs.amx1.net,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
usw1-sync.a-mo.net,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
usync.4dex.io,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
ut.pubmatic.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
variations.brave.com,desconocido,1,0,0,0,2,0,0,0,0,0,0,,,0,,
visitor-adpone.omnitagjs.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
visitor.omnitagjs.com,desconocido,0,2,1,0,2,1,0,0,0,0,0,,,0,,
web-banner.ads.aps.amazon-adsystem.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
wt.rqtrk.eu,publicidad,0,2,1,0,2,1,0,0,0,0,0,,,0,,
www.elheraldo.co,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
www.eltiempo.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
www.facebook.com,desconocido,0,4,1,0,4,1,0,3,1,0,2,,,0,,
www.google-analytics.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
www.google.com,desconocido,1,12,1,0,7,1,1,3,1,0,2,,,3,,
www.google.com.co,desconocido,1,6,1,0,3,1,1,3,1,0,0,,,3,,
www.googleadservices.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
www.googleapis.com,desconocido,1,2,0,0,0,0,0,0,0,0,0,,,0,,
www.googletagmanager.com,rastreador,0,4,1,0,3,1,0,3,1,0,0,,,3,,
www.gstatic.com,desconocido,1,10,1,0,3,1,0,3,1,0,0,,,5,,
www.mercadolibre.com.co,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,3,,
www.npttech.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
www.queryly.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,2,,
www.temu.com,desconocido,0,4,1,0,5,1,0,3,1,0,0,,,0,,
www.youtube.com,desconocido,0,6,1,0,6,1,1,2,1,0,2,,,3,,
x.bidswitch.net,rastreador,0,4,1,0,3,1,0,3,1,0,0,,,0,,
youtube.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,1,,
